x            y_obs        weight       y_calc       y_bkg        
16.47        1.0          1.0          1.729        1.0          
16.48        3.0          0.33333      1.73         1.0          
16.49        1.462        0.68416      1.731        1.0          
16.5         3.0          0.33333      1.732        1.0          
16.51        1.466        0.68218      1.733        1.0          
16.52        2.0          0.5          1.734        1.0          
16.53        1.47         0.68021      1.735        1.0          
16.54        3.0          0.33333      1.736        1.0          
16.55        1.474        0.67823      1.737        1.0          
16.56        2.477        0.40379      1.738        1.0          
16.57        1.0          1.0          1.739        1.0          
16.58        2.0          0.5          1.74         1.0          
16.59        -0.517       1.0          1.742        1.0          
16.6         4.0          0.25         1.743        1.0          
16.61        0.0          1.0          1.744        1.0          
16.62        2.49         0.40168      1.745        1.0          
16.63        1.0          1.0          1.746        1.0          
16.64        3.494        0.28621      1.747        1.0          
16.65        0.0          1.0          1.748        1.0          
16.66        3.0          0.33333      1.749        1.0          
16.67        1.0          1.0          1.75         1.0          
16.68        2.503        0.39957      1.751        1.0          
16.69        0.505        1.98053      1.752        1.0          
16.7         3.0          0.33333      1.754        1.0          
16.71        0.0          1.0          1.755        1.0          
16.72        2.512        0.39816      1.756        1.0          
16.73        -0.486       1.0          1.757        1.0          
16.74        2.0          0.5          1.758        1.0          
16.75        1.0          1.0          1.759        1.0          
16.76        2.0          0.5          1.76         1.0          
16.77        0.0          1.0          1.761        1.0          
16.78        3.0          0.33333      1.763        1.0          
16.79        -0.473       1.0          1.764        1.0          
16.8         2.0          0.5          1.765        1.0          
16.81        0.0          1.0          1.766        1.0          
16.82        2.534        0.39461      1.767        1.0          
16.83        -0.464       1.0          1.768        1.0          
16.84        4.0          0.25         1.769        1.0          
16.85        1.541        0.64892      1.771        1.0          
16.86        2.0          0.5          1.772        1.0          
16.87        0.546        1.83273      1.773        1.0          
16.88        3.0          0.33333      1.774        1.0          
16.89        -0.45        1.0          1.775        1.0          
16.9         3.0          0.33333      1.776        1.0          
16.91        0.555        1.80206      1.777        1.0          
16.92        2.557        0.39104      1.779        1.0          
16.93        1.56         0.64119      1.78         1.0          
16.94        2.562        0.39033      1.781        1.0          
16.95        1.0          1.0          1.782        1.0          
16.96        3.567        0.28037      1.783        1.0          
16.97        0.569        1.75741      1.785        1.0          
16.98        3.571        0.28         1.786        1.0          
16.99        1.0          1.0          1.787        1.0          
17.0         2.0          0.5          1.788        1.0          
17.01        0.579        1.72852      1.789        1.0          
17.02        2.581        0.38746      1.79         1.0          
17.03        -0.417       1.0          1.792        1.0          
17.04        2.0          0.5          1.793        1.0          
17.05        0.588        1.70029      1.794        1.0          
17.06        2.0          0.5          1.795        1.0          
17.07        0.593        1.68642      1.796        1.0          
17.08        2.595        0.3853       1.798        1.0          
17.09        1.598        0.62585      1.799        1.0          
17.1         3.6          0.27776      1.8          1.0          
17.11        0.0          1.0          1.801        1.0          
17.12        4.0          0.25         1.803        1.0          
17.13        1.608        0.62204      1.804        1.0          
17.14        2.0          0.5          1.805        1.0          
17.15        1.0          1.0          1.806        1.0          
17.16        2.0          0.5          1.808        1.0          
17.17        0.0          1.0          1.809        1.0          
17.18        3.0          0.33333      1.81         1.0          
17.19        1.0          1.0          1.811        1.0          
17.2         3.0          0.33333      1.812        1.0          
17.21        0.0          1.0          1.814        1.0          
17.22        2.63         0.38023      1.815        1.0          
17.23        1.0          1.0          1.816        1.0          
17.24        3.0          0.33333      1.818        1.0          
17.25        1.638        0.61066      1.819        1.0          
17.26        2.64         0.37877      1.82         1.0          
17.27        1.0          1.0          1.821        1.0          
17.28        2.0          0.5          1.823        1.0          
17.29        0.0          1.0          1.824        1.0          
17.3         2.0          0.5          1.825        1.0          
17.31        1.653        0.605        1.826        1.0          
17.32        2.0          0.5          1.828        1.0          
17.33        -3.342       1.0          1.829        1.0          
17.34        2.661        0.37585      1.83         1.0          
17.35        1.663        0.60124      1.832        1.0          
17.36        3.666        0.27279      1.833        1.0          
17.37        1.0          1.0          1.834        1.0          
17.38        3.671        0.2724       1.836        1.0          
17.39        1.0          1.0          1.837        1.0          
17.4         2.676        0.37365      1.838        1.0          
17.41        1.679        0.59562      1.839        1.0          
17.42        3.0          0.33333      1.841        1.0          
17.43        1.684        0.59375      1.842        1.0          
17.44        3.0          0.33333      1.843        1.0          
17.45        -0.31        1.0          1.845        1.0          
17.46        3.692        0.27084      1.846        1.0          
17.47        0.0          1.0          1.847        1.0          
17.48        2.698        0.37071      1.849        1.0          
17.49        0.7          1.42811      1.85         1.0          
17.5         3.703        0.27006      1.851        1.0          
17.51        -0.294       1.0          1.853        1.0          
17.52        2.708        0.36923      1.854        1.0          
17.53        0.0          1.0          1.856        1.0          
17.54        3.714        0.26927      1.857        1.0          
17.55        1.716        0.58259      1.858        1.0          
17.56        3.719        0.26887      1.86         1.0          
17.57        -1.278       1.0          1.861        1.0          
17.58        2.725        0.36701      1.862        1.0          
17.59        1.0          1.0          1.864        1.0          
17.6         3.0          0.33333      1.865        1.0          
17.61        0.733        1.36427      1.866        1.0          
17.62        2.0          0.5          1.868        1.0          
17.63        -0.261       1.0          1.869        1.0          
17.64        3.741        0.26728      1.871        1.0          
17.65        0.0          1.0          1.872        1.0          
17.66        2.747        0.36404      1.873        1.0          
17.67        0.0          1.0          1.875        1.0          
17.68        3.0          0.33333      1.876        1.0          
17.69        -1.245       1.0          1.878        1.0          
17.7         4.0          0.25         1.879        1.0          
17.71        -0.239       1.0          1.881        1.0          
17.72        2.764        0.3618       1.882        1.0          
17.73        -0.233       1.0          1.883        1.0          
17.74        3.0          0.33333      1.885        1.0          
17.75        1.773        0.56417      1.886        1.0          
17.76        3.775        0.26487      1.888        1.0          
17.77        1.0          1.0          1.889        1.0          
17.78        2.0          0.5          1.891        1.0          
17.79        0.784        1.27541      1.892        1.0          
17.8         2.0          0.5          1.893        1.0          
17.81        1.0          1.0          1.895        1.0          
17.82        2.0          0.5          1.896        1.0          
17.83        1.796        0.55687      1.898        1.0          
17.84        2.799        0.35731      1.899        1.0          
17.85        1.0          1.0          1.901        1.0          
17.86        2.0          0.5          1.902        1.0          
17.87        -0.192       1.0          1.904        1.0          
17.88        2.0          0.5          1.905        1.0          
17.89        0.0          1.0          1.907        1.0          
17.9         3.816        0.26202      1.908        1.0          
17.91        0.0          1.0          1.91         1.0          
17.92        4.0          0.25         1.911        1.0          
17.93        0.825        1.21145      1.913        1.0          
17.94        2.0          0.5          1.914        1.0          
17.95        1.0          1.0          1.916        1.0          
17.96        3.0          0.33333      1.917        1.0          
17.97        0.0          1.0          1.919        1.0          
17.98        3.0          0.33333      1.92         1.0          
17.99        1.0          1.0          1.922        1.0          
18.0         3.847        0.25996      1.923        1.0          
18.01        1.85         0.5406       1.925        1.0          
18.02        3.0          0.33333      1.926        1.0          
18.03        -2.144       1.0          1.928        1.0          
18.04        3.0          0.33333      1.93         1.0          
18.05        1.0          1.0          1.931        1.0          
18.06        3.0          0.33333      1.933        1.0          
18.07        1.868        0.53522      1.934        1.0          
18.08        2.872        0.34825      1.936        1.0          
18.09        1.0          1.0          1.937        1.0          
18.1         4.0          0.25         1.939        1.0          
18.11        1.0          1.0          1.94         1.0          
18.12        2.884        0.34672      1.942        1.0          
18.13        0.0          1.0          1.944        1.0          
18.14        3.0          0.33333      1.945        1.0          
18.15        1.894        0.52808      1.947        1.0          
18.16        3.0          0.33333      1.948        1.0          
18.17        1.9          0.5263       1.95         1.0          
18.18        3.0          0.33333      1.952        1.0          
18.19        1.0          1.0          1.953        1.0          
18.2         2.91         0.34367      1.955        1.0          
18.21        1.913        0.52275      1.956        1.0          
18.22        2.916        0.34291      1.958        1.0          
18.23        1.0          1.0          1.96         1.0          
18.24        2.0          0.5          1.961        1.0          
18.25        0.926        1.07989      1.963        1.0          
18.26        3.0          0.33333      1.965        1.0          
18.27        1.933        0.51744      1.966        1.0          
18.28        3.0          0.33333      1.968        1.0          
18.29        0.0          1.0          1.97         1.0          
18.3         3.0          0.33333      1.971        1.0          
18.31        0.946        1.05724      1.973        1.0          
18.32        2.949        0.33908      1.975        1.0          
18.33        1.953        0.51215      1.976        1.0          
18.34        2.956        0.33831      1.978        1.0          
18.35        -0.041       1.0          1.98         1.0          
18.36        2.0          0.5          1.981        1.0          
18.37        1.0          1.0          1.983        1.0          
18.38        2.0          0.5          1.985        1.0          
18.39        0.973        1.02795      1.986        1.0          
18.4         2.976        0.336        1.988        1.0          
18.41        1.98         0.50514      1.99         1.0          
18.42        2.0          0.5          1.992        1.0          
18.43        1.0          1.0          1.993        1.0          
18.44        2.99         0.33445      1.995        1.0          
18.45        1.993        0.50165      1.997        1.0          
18.46        2.997        0.33368      1.998        1.0          
18.47        2.0          0.5          2.0          1.0          
18.48        2.004        0.49904      2.002        1.0          
18.49        1.0          1.0          2.004        1.0          
18.5         3.011        0.33213      2.005        1.0          
18.51        0.014        69.56124     2.007        1.0          
18.52        5.0          0.2          2.009        1.0          
18.53        1.0          1.0          2.011        1.0          
18.54        2.025        0.49383      2.012        1.0          
18.55        1.029        0.97225      2.014        1.0          
18.56        2.032        0.4921       2.016        1.0          
18.57        1.036        0.96555      2.018        1.0          
18.58        4.039        0.24757      2.02         1.0          
18.59        1.0          1.0          2.021        1.0          
18.6         3.0          0.33333      2.023        1.0          
18.61        2.0          0.5          2.025        1.0          
18.62        3.054        0.32747      2.027        1.0          
18.63        1.057        0.94577      2.029        1.0          
18.64        3.0          0.33333      2.03         1.0          
18.65        2.0          0.5          2.032        1.0          
18.66        2.068        0.48349      2.034        1.0          
18.67        1.072        0.93284      2.036        1.0          
18.68        3.0          0.33333      2.038        1.0          
18.69        0.0          1.0          2.04         1.0          
18.7         4.0          0.25         2.042        1.0          
18.71        -0.913       1.0          2.043        1.0          
18.72        2.091        0.47835      2.045        1.0          
18.73        1.0          1.0          2.047        1.0          
18.74        3.0          0.33333      2.049        1.0          
18.75        2.0          0.5          2.051        1.0          
18.76        2.106        0.47493      2.053        1.0          
18.77        1.0          1.0          2.055        1.0          
18.78        4.113        0.24312      2.057        1.0          
18.79        2.0          0.5          2.058        1.0          
18.8         4.121        0.24267      2.06         1.0          
18.81        2.0          0.5          2.062        1.0          
18.82        2.128        0.46983      2.064        1.0          
18.83        1.0          1.0          2.066        1.0          
18.84        3.0          0.33333      2.068        1.0          
18.85        2.0          0.5          2.07         1.0          
18.86        3.144        0.31808      2.072        1.0          
18.87        1.148        0.87125      2.074        1.0          
18.88        4.152        0.24087      2.076        1.0          
18.89        0.156        6.42713      2.078        1.0          
18.9         3.16         0.3165       2.08         1.0          
18.91        0.0          1.0          2.082        1.0          
18.92        3.167        0.31572      2.084        1.0          
18.93        1.0          1.0          2.086        1.0          
18.94        3.175        0.31493      2.088        1.0          
18.95        1.0          1.0          2.09         1.0          
18.96        4.0          0.25         2.092        1.0          
18.97        1.187        0.84223      2.094        1.0          
18.98        2.191        0.45634      2.096        1.0          
18.99        0.0          1.0          2.098        1.0          
19.0         2.199        0.45467      2.1          1.0          
19.01        1.0          1.0          2.102        1.0          
19.02        3.208        0.31177      2.104        1.0          
19.03        0.212        4.72563      2.106        1.0          
19.04        4.216        0.23721      2.108        1.0          
19.05        0.22         4.54952      2.11         1.0          
19.06        3.0          0.33333      2.112        1.0          
19.07        2.0          0.5          2.114        1.0          
19.08        2.232        0.44799      2.116        1.0          
19.09        1.0          1.0          2.118        1.0          
19.1         2.24         0.44633      2.12         1.0          
19.11        0.0          1.0          2.122        1.0          
19.12        3.0          0.33333      2.124        1.0          
19.13        1.0          1.0          2.127        1.0          
19.14        3.257        0.30701      2.129        1.0          
19.15        0.0          1.0          2.131        1.0          
19.16        2.266        0.44136      2.133        1.0          
19.17        1.27         0.78742      2.135        1.0          
19.18        5.0          0.2          2.137        1.0          
19.19        0.0          1.0          2.139        1.0          
19.2         2.283        0.43806      2.141        1.0          
19.21        0.287        3.48308      2.144        1.0          
19.22        3.0          0.33333      2.146        1.0          
19.23        1.0          1.0          2.148        1.0          
19.24        3.0          0.33333      2.15         1.0          
19.25        2.0          0.5          2.152        1.0          
19.26        2.309        0.43313      2.154        1.0          
19.27        1.313        0.76151      2.157        1.0          
19.28        3.318        0.30143      2.159        1.0          
19.29        -0.678       1.0          2.161        1.0          
19.3         4.326        0.23114      2.163        1.0          
19.31        2.0          0.5          2.165        1.0          
19.32        2.335        0.42822      2.168        1.0          
19.33        1.0          1.0          2.17         1.0          
19.34        4.344        0.23019      2.172        1.0          
19.35        2.0          0.5          2.174        1.0          
19.36        4.0          0.25         2.177        1.0          
19.37        1.358        0.73654      2.179        1.0          
19.38        3.0          0.33333      2.181        1.0          
19.39        1.367        0.73166      2.183        1.0          
19.4         4.0          0.25         2.186        1.0          
19.41        1.376        0.72681      2.188        1.0          
19.42        3.38         0.29582      2.19         1.0          
19.43        2.0          0.5          2.193        1.0          
19.44        3.39         0.29501      2.195        1.0          
19.45        1.394        0.71721      2.197        1.0          
19.46        3.399        0.29421      2.199        1.0          
19.47        2.0          0.5          2.202        1.0          
19.48        3.0          0.33333      2.204        1.0          
19.49        0.413        2.42173      2.206        1.0          
19.5         2.418        0.41363      2.209        1.0          
19.51        1.422        0.70307      2.211        1.0          
19.52        4.427        0.22588      2.214        1.0          
19.53        2.0          0.5          2.216        1.0          
19.54        2.437        0.41042      2.218        1.0          
19.55        0.0          1.0          2.221        1.0          
19.56        4.0          0.25         2.223        1.0          
19.57        1.451        0.68923      2.225        1.0          
19.58        4.0          0.25         2.228        1.0          
19.59        2.0          0.5          2.23         1.0          
19.6         4.465        0.22395      2.233        1.0          
19.61        -3.53        1.0          2.235        1.0          
19.62        3.475        0.28776      2.238        1.0          
19.63        1.48         0.67568      2.24         1.0          
19.64        2.485        0.40243      2.242        1.0          
19.65        -0.51        1.0          2.245        1.0          
19.66        4.0          0.25         2.247        1.0          
19.67        2.0          0.5          2.25         1.0          
19.68        3.0          0.33333      2.252        1.0          
19.69        1.0          1.0          2.255        1.0          
19.7         3.515        0.28452      2.257        1.0          
19.71        0.0          1.0          2.26         1.0          
19.72        3.525        0.28371      2.262        1.0          
19.73        1.53         0.65371      2.265        1.0          
19.74        6.0          0.16667      2.267        1.0          
19.75        1.0          1.0          2.27         1.0          
19.76        4.0          0.25         2.272        1.0          
19.77        2.0          0.5          2.275        1.0          
19.78        2.555        0.39136      2.278        1.0          
19.79        0.56         1.78464      2.28         1.0          
19.8         2.565        0.38979      2.283        1.0          
19.81        0.0          1.0          2.285        1.0          
19.82        2.576        0.38822      2.288        1.0          
19.83        1.0          1.0          2.291        1.0          
19.84        3.0          0.33333      2.293        1.0          
19.85        1.592        0.62833      2.296        1.0          
19.86        3.597        0.27803      2.298        1.0          
19.87        1.0          1.0          2.301        1.0          
19.88        2.607        0.38353      2.304        1.0          
19.89        2.0          0.5          2.306        1.0          
19.9         2.618        0.38197      2.309        1.0          
19.91        0.0          1.0          2.312        1.0          
19.92        2.629        0.38042      2.314        1.0          
19.93        1.0          1.0          2.317        1.0          
19.94        2.639        0.37887      2.32         1.0          
19.95        -0.355       1.0          2.322        1.0          
19.96        3.0          0.33333      2.325        1.0          
19.97        2.0          0.5          2.328        1.0          
19.98        3.0          0.33333      2.331        1.0          
19.99        2.0          0.5          2.333        1.0          
20.0         3.672        0.27232      2.336        1.0          
20.01        -0.322       1.0          2.339        1.0          
20.02        3.0          0.33333      2.342        1.0          
20.03        1.0          1.0          2.344        1.0          
20.04        3.0          0.33333      2.347        1.0          
20.05        1.7          0.58825      2.35         1.0          
20.06        4.706        0.21251      2.353        1.0          
20.07        1.711        0.58438      2.356        1.0          
20.08        3.717        0.26905      2.358        1.0          
20.09        -1.277       1.0          2.361        1.0          
20.1         3.728        0.26823      2.364        1.0          
20.11        1.0          1.0          2.367        1.0          
20.12        4.0          0.25         2.37         1.0          
20.13        0.0          1.0          2.373        1.0          
20.14        3.751        0.26659      2.376        1.0          
20.15        1.757        0.56919      2.378        1.0          
20.16        8.0          0.125        2.381        1.0          
20.17        1.0          1.0          2.384        1.0          
20.18        3.0          0.33333      2.387        1.0          
20.19        0.78         1.28172      2.39         1.0          
20.2         3.786        0.26413      2.393        1.0          
20.21        2.0          0.5          2.396        1.0          
20.22        3.798        0.2633       2.399        1.0          
20.23        1.804        0.55438      2.402        1.0          
20.24        2.81         0.3559       2.405        1.0          
20.25        1.0          1.0          2.408        1.0          
20.26        5.0          0.2          2.411        1.0          
20.27        -0.172       1.0          2.414        1.0          
20.28        3.0          0.33333      2.417        1.0          
20.29        0.84         1.1907       2.42         1.0          
20.3         3.846        0.26002      2.423        1.0          
20.31        0.0          1.0          2.426        1.0          
20.32        3.0          0.33333      2.429        1.0          
20.33        1.864        0.5364       2.432        1.0          
20.34        2.87         0.34838      2.435        1.0          
20.35        -0.123       1.0          2.438        1.0          
20.36        3.0          0.33333      2.441        1.0          
20.37        1.0          1.0          2.445        1.0          
20.38        2.895        0.34539      2.448        1.0          
20.39        -1.098       1.0          2.451        1.0          
20.4         2.908        0.3439       2.454        1.0          
20.41        0.0          1.0          2.457        1.0          
20.42        2.92         0.34241      2.46         1.0          
20.43        2.0          0.5          2.463        1.0          
20.44        5.0          0.2          2.467        1.0          
20.45        2.0          0.5          2.47         1.0          
20.46        4.946        0.20218      2.473        1.0          
20.47        1.952        0.51218      2.476        1.0          
20.48        3.0          0.33333      2.479        1.0          
20.49        -3.035       1.0          2.483        1.0          
20.5         3.972        0.25177      2.486        1.0          
20.51        2.0          0.5          2.489        1.0          
20.52        3.985        0.25094      2.492        1.0          
20.53        2.0          0.5          2.496        1.0          
20.54        2.998        0.33354      2.499        1.0          
20.55        1.005        0.99529      2.502        1.0          
20.56        4.011        0.24929      2.506        1.0          
20.57        1.018        0.98228      2.509        1.0          
20.58        4.0          0.25         2.512        1.0          
20.59        2.031        0.49226      2.516        1.0          
20.6         3.038        0.32915      2.519        1.0          
20.61        1.0          1.0          2.522        1.0          
20.62        4.052        0.24681      2.526        1.0          
20.63        2.0          0.5          2.529        1.0          
20.64        3.0          0.33333      2.533        1.0          
20.65        2.072        0.48258      2.536        1.0          
20.66        4.0          0.25         2.54         1.0          
20.67        2.0          0.5          2.543        1.0          
20.68        4.0          0.25         2.546        1.0          
